Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Town of Tyre,1082 Gravel Rd,,Seneca Falls,NY,13148,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,4,,,EVOKE,https://evokesystems.com,GPS,42.972981,-76.797060,10/11/2024,356891,2025-02-12 00:16:32,P,,,08/27/2024,J1772
ELEC,141 E 89th St - Garage,141 E 89th St,,New York,NY,10128,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,6,,,EVOKE,https://evokesystems.com,GPS,40.776897,-73.948795,10/11/2024,356927,2025-02-12 00:16:32,P,,,11/02/2023,J1772
ELEC,Employee Parking Lot,553 Washington St,,Buffalo,NY,14203,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://www.flo.com,GPS,42.889208,-78.872574,06/26/2025,372929,2025-06-26 02:16:14,,,,12/13/2024,J1772
ELEC,"Grand Blvd, Brentwood",37 Grand Blvd,,Brentwood,NY,11717,,1-800-636-0986,E,,Public,,,,2,,,CHARGELAB,https://chargelab.co,GPS,40.784532,-73.226513,06/26/2025,375484,2025-06-26 03:10:50,,,,01/12/2025,J1772
ELEC,ARC,30-02 39th Ave,,Long Island,NY,11101,,1-888-222-6618,E,,Public,,,,6,,,NOODOE,https://www.noodoe.com,GPS,40.753001,-73.933671,06/26/2025,389388,2025-06-26 02:42:37,,,,04/04/2025,J1772
ELEC,ESF BAKER LAB 2,1 Forestry Drive West Campus Drive,Baker Lab - Lot P17,Syracuse,NY,13210,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.033882,-76.137749,06/25/2025,207787,2025-06-25 01:44:16,,,,03/09/2022,J1772
ELEC,BURNS MGT HV 5,222 Heritage Rd,,Guilderland,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.692405,-73.885424,06/26/2025,121688,2025-06-26 01:14:26,,,,04/25/2019,J1772
ELEC,500 Packetts Landing,500 Packetts Landing,,Fairport,NY,14450,,866-816-7584,E,,Public,24 hours daily,,,5,,,EV Connect,https://www.evconnect.com,GPS,43.100418,-77.439768,06/26/2025,152213,2025-06-26 01:48:33,,,,12/27/2019,J1772
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,02/12/2024,44329,2025-02-12 00:16:32,P,,,11/30/2011,J1772
ELEC,Osborne Lot - Tesla Supercharger,8  Osborne Lane,,East Hampton,NY,11937,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,40.965512,-72.189662,07/01/2024,213148,2025-02-12 00:16:32,P,,,03/27/2022,TESLA
ELEC,MONROE COUNTY MCH NORTH,435 East Henrietta Road Monroe Community Hosp,Parking Lot North for Monroe Community Hospital - 435 E Henrietta Road,Rochester,NY,14620,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.113995,-77.617214,06/25/2025,254373,2025-06-25 02:10:59,,,,02/22/2023,J1772
ELEC,STATION 4TH FL MOTORGATE #1,688 Main St,Motorgate Garage -Fourth Level,New York,NY,10044,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.764429,-73.946793,06/25/2025,169880,2025-06-25 01:35:19,,,,12/03/2020,J1772
ELEC,FLEETWOODGARAGE STATION TWO,42 Broad St W,Parking deck 2,Mount Vernon,NY,10552,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.925934,-73.837135,06/25/2025,182258,2025-06-25 01:37:52,,,,01/27/2021,J1772
ELEC,ULSTER COUNTY HEALTH DEPT 3,239 Golden Hill Dr,"Ulster County's fee for public charging is $0.50 per hour, effective 1-1-2020.",Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.917121,-74.019023,06/26/2025,162170,2025-06-26 01:11:11,,,,06/12/2020,J1772
ELEC,TALLYRAND TALLYRAND2,200 White Plains Rd,Public charger in office complex lot,Tarrytown,NY,10591,,888-758-4389,E,,Public,Mon 8:00pm - 12:00am; Tue 8:00pm - 12:00am; Wed 8:00pm - 12:00am; Thu 8:00pm - 12:00am; Fri 8:00pm - 12:00am; Sat 8:00pm - 12:00am; Sun 8:00pm - 12:00am,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.063810,-73.852131,06/25/2025,235900,2025-06-25 02:06:20,,,,11/10/2022,J1772
ELEC,TPWC TPWC 6A,2594 Western Av,Bldg 4,Altamont,NY,12009,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.714246,-73.936003,06/25/2025,227767,2025-06-25 01:45:07,,,,09/17/2022,J1772
ELEC,SWTCH Energy Inc.,220 Crosby Blvd,,Old Forge,NY,13420,,844-798-2438,E,,Public,24 hours daily,A D Debit M V,,2,,,SWTCH,https://swtchenergy.com,GPS,43.711399,-74.973396,,341801,2024-05-08 15:49:07,P,,,03/14/2024,J1772
ELEC,ULSTER COUNTY ARC BEAM-MOBILE,(temporary location),"**PLEASE NOTE: This is a lower kW output mobile, solar-powered EV charger and is only available for public charging intermittently. The first 2 hours of charging is free.",Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.946868,-73.996119,06/25/2025,355708,2025-06-25 02:33:44,,,,09/14/2024,J1772
ELEC,STONY BROOK UNV ADMIN 1,100 Nicolls Road,,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.914648,-73.119684,06/26/2025,181140,2025-06-26 01:05:14,,,,01/27/2021,J1772
ELEC,MARKET 32 EV NOTT ST EV1,461 Nott St,Front row adjacent to sliding door,Schenectady,NY,12308,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.822031,-73.932021,06/25/2025,175586,2025-06-25 01:28:29,,,,01/27/2021,J1772
ELEC,RIVERTRAIL RIVERTRAIL EV1,79 Woodruff Street,Back right of lot.,Saranac Lake,NY,12983,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,44.329499,-74.129461,06/25/2025,356144,2025-06-25 02:34:47,,,,09/21/2024,J1772
ELEC,DEWITT EV 1 CARRIERPARK#3,1033 Kinne St,,East Syracuse,NY,13057,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.080503,-76.078693,06/25/2025,223470,2025-06-25 02:01:10,,,,07/14/2022,J1772
ELEC,Staples Plaza - Tesla Supercharger,3379 Crompond Road,,Yorktown Heights,NY,10589,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,12,,Tesla,https://www.tesla.com/supercharger,200-8,41.290501,-73.832487,07/01/2024,149366,2025-05-06 21:07:47,P,,,09/30/2019,TESLA
ELEC,"Brooklyn, NY - 625 Atlantic Avenue - Tesla Destination",625 Atlantic Avenue B12,,Brooklyn,NY,11217,,877-798-3752,E,,Public,,,,10,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,40.684840,-73.975660,07/01/2024,359128,2025-02-12 00:16:32,P,,,07/01/2024,TESLA
ELEC,Putnam Hospital B,670 Stoneleigh Ave,,Carmel Hamlet,NY,10512,,1-888-717-4544,E,,Public,24 hours daily,,,2,,,CHARGESMART_EV,https://chargesmartev.com,GPS,41.382439,-73.661625,06/26/2025,347360,2025-06-26 02:57:09,,,,06/04/2024,J1772
ELEC,BUFFALO STATE EV STATION 1,1300 Elmwood Ave.,In front of Technology Building,Buffalo,NY,14222,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.933556,-78.884528,06/25/2025,191382,2025-06-25 01:42:32,,,,06/23/2021,J1772
ELEC,"NY DCFC RIVERHEAD, NY",1791 Old Country Rd,Behind Starbucks,Riverhead,NY,11901,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,40.923448,-72.703416,06/25/2025,170120,2025-06-25 01:37:14,,,,12/12/2020,CHADEMO J1772COMBO
ELEC,CHEEKTOWAGA BROADWAY #4,3301 Broadway,,Cheektowaga,NY,14227,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.902650,-78.753197,06/25/2025,183766,2025-06-25 01:38:33,,,,02/04/2021,J1772
ELEC,134 N 4th St,134 N 4th St,,Brooklyn,NY,11249,,888-356-8911,E,,Public,24 hours daily,,,4,,,FLO,https://www.flo.com,GPS,40.716441,-73.960043,06/26/2025,202931,2025-06-26 02:14:04,,,,12/22/2021,J1772
ELEC,Plattekill Service Area,I-87 - NYS Thruway NB,,Plattekill,NY,12568,,888-557-7099,E,,Public,24 hours daily,ANDROID_PAY APPLE_PAY CREDIT Debit M V,,,6,,APPLEGREEN,https://www.applegreenelectric.com,GPS,41.577646,-74.085386,08/15/2024,347238,2025-02-12 00:16:32,P,,,05/31/2024,CHADEMO J1772COMBO TESLA
ELEC,SUNY NEW PALTZ SOUTH CLASSRM 1,South Classroom Building Lot,,New Paltz,NY,12561,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.736877,-74.084211,06/26/2025,174099,2025-06-26 01:16:23,,,,01/27/2021,J1772
ELEC,ROSENBLUM300 300 GREAT OAKS,300 Great Oaks Blvd,,Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.680984,-73.846759,06/26/2025,118995,2025-06-26 01:14:56,,,,03/08/2019,J1772
ELEC,SWTCH Energy Inc.,559 Tuckahoe Rd,,Yonkers,NY,10710,,,E,,Public,24 hours daily,A D Debit M V,,4,,,SWTCH,https://swtchenergy.com,GPS,40.954498,-73.848801,,341835,2024-05-08 15:49:07,P,,,04/04/2024,J1772
ELEC,Craft Marketplace,40 Green St,,Plattsburgh,NY,12901,,,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,6,,,Non-Networked,,GPS,44.698586,-73.447913,03/14/2024,227686,2025-02-12 00:16:32,P,,,09/13/2022,J1772
ELEC,Ridgedale Manor - 439-459,55 Pennels Dr.,Along Pennels Drive in front of building 439-459,Greece,NY,14626,,1-833-611-5965,E,,Public,24 hours daily,,,8,,,VIALYNK,https://www.lynkwell.com,GPS,43.213910,-77.707270,06/26/2025,350793,2025-06-26 02:50:03,,,,07/19/2024,J1772
ELEC,CITY OF ONEONTA DIETZ ST LOT,37 Dietz St,,Oneonta,NY,13820,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.455733,-75.062760,06/26/2025,162145,2025-06-26 01:12:36,,,,06/12/2020,J1772
ELEC,NEW HARTFORD GW-1 1.1,8635 Clinton St,,New Hartford,NY,13413,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.092808,-75.316605,06/26/2025,174768,2025-06-26 01:20:22,,,,01/27/2021,J1772
ELEC,iPark NYC 88th Street Garage - Tesla Destination,101 W 88th St,,New York,NY,10024,,877-798-3752,E,,Public,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.788008,-73.971611,07/01/2024,114993,2025-02-12 00:16:32,P,,,06/22/2015,J1772 TESLA
ELEC,6 Depot St,6 Depot St #104,,Washingtonville,NY,10992,,866-816-7584,E,,Public,24 hours daily,,,8,,,EV Connect,https://www.evconnect.com,GPS,41.425389,-74.167071,06/26/2025,230960,2025-06-26 01:49:44,,,,09/30/2022,J1772
ELEC,FLEETWOODGARAGE STATION ONE,42 Broad St W,Parking deck 2,Mount Vernon,NY,10552,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.925940,-73.837150,06/25/2025,171343,2025-06-25 01:38:11,,,,01/16/2021,J1772
ELEC,BELMONT PARK VI BPV ST. 7,2375 Hempstead Turnpike,,Elmont,NY,11003,,888-758-4389,E,,Public,Mon 8:00am - 12:00am; Tue 8:00am - 12:00am; Wed 8:00am - 12:00am; Thu 8:00am - 12:00am; Fri 8:00am - 12:00am; Sat 8:00am - 12:00am; Sun 8:00am - 12:00am,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.709509,-73.725090,06/25/2025,386977,2025-06-25 02:43:56,,,,02/27/2025,J1772
ELEC,BRI - Bay Ridge Municipal Parking Garage,8501 5th Ave,,Brooklyn,NY,11209,,866-816-7584,E,,Public,Mon 8:00am - 10:00pm; Tue 8:00am - 10:00pm; Wed 8:00am - 10:00pm; Thu 8:00am - 10:00pm; Fri 8:00am - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,5,,,EV Connect,https://www.evconnect.com,GPS,40.621698,-74.025670,06/26/2025,65288,2025-06-26 01:48:16,,,,06/01/2015,J1772
ELEC,LIVONIA CSD ES 1,6 Puppy Ln,,Livonia,NY,14487,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.815314,-77.664885,06/25/2025,240830,2025-06-25 02:08:42,,,,01/03/2023,J1772
ELEC,Tehan's Plaza - Red Lobster,4581 Commercial Drive,,New Hartford,NY,13413,,1-833-611-5965,E,,Public,24 hours daily,,,8,,,VIALYNK,https://www.lynkwell.com,GPS,43.086220,-75.315780,06/26/2025,189535,2025-06-26 02:48:20,,,,04/30/2021,J1772
ELEC,ERIE COUNTY ISLEVIEW,800 Niagara St,,Tonawanda,NY,14150,,888-758-4389,E,,Public,Mon 6:00am - 9:00pm; Tue 6:00am - 9:00pm; Wed 6:00am - 9:00pm; Thu 6:00am - 9:00pm; Fri 6:00am - 9:00pm; Sat 6:00am - 9:00pm; Sun 6:00am - 9:00pm,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.010323,-78.907524,06/25/2025,164077,2025-06-25 01:28:24,,,,07/09/2020,J1772
ELEC,RIVERHEAD BAY VW_408150_A,1521 Old Country Rd,East Part of Front Parking Lot,Riverhead,NY,11901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.925695,-72.692471,06/26/2025,162424,2025-06-26 00:50:27,,,,06/12/2020,J1772
ELEC,BNE MASTER 5000 MURRAY ST1,5000 Murray Court,,Pearl River,NY,10965,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.045900,-74.004035,06/25/2025,221902,2025-06-25 01:58:28,,,,06/23/2022,J1772
ELEC,"Chalet Apartments 300 Edwards Street Roslyn, NY",300 Edwards Street,,Roslyn,NY,11577,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://www.flo.com,GPS,40.794166,-73.647669,06/26/2025,222433,2025-06-26 02:13:30,,,,07/01/2022,J1772
ELEC,FORDOFLATHAM CP6K-PARTS-1,702 Troy-Schenectady Road,Parking Lot near parts department,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.757099,-73.779717,06/25/2025,372521,2025-06-25 02:28:33,,,,12/06/2024,J1772
ELEC,HIDDEN CREEK HC 150 LEFT,150 Charwood Cir,,Irondequoit,NY,14609,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.183364,-77.559942,06/25/2025,257255,2025-06-25 02:12:02,,,,03/29/2023,J1772
ELEC,WEST HERR AUTO WH SL L3-1,6856 South Transit Road,Front of Dealership,Lockport,NY,14094,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,43.094955,-78.697924,06/25/2025,351396,2025-06-25 02:33:38,,,,07/24/2024,CHADEMO J1772COMBO
ELEC,Charlie Johns Store - Tesla Destination,111 Elm Lake Rd,,Speculator,NY,12164,,877-798-3752,E,,Public,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,43.503094,-74.364291,07/01/2024,359304,2025-05-06 21:10:23,P,,,,J1772 TESLA
ELEC,DBI PROPERTIES CG 600 HN RIGHT,611 Hawks Nest Cir,Carriage Glen 600 Right Charger,Greece,NY,14626,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.234456,-77.701478,06/25/2025,312344,2025-06-25 02:20:57,,,,10/05/2023,J1772
ELEC,TOM MEMORIAL PARK,4 Baldwin Ave,,Larchmont,NY,10538,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.935345,-73.760352,06/26/2025,145333,2025-06-26 01:19:46,,,,09/18/2019,J1772
ELEC,Park Ford of Mahopac,276 US 6,,Mahopac,NY,10541,,1-888-717-4544,E,,Public,Mon 5:00am - 12:00am; Tue 5:00am - 12:00am; Wed 5:00am - 12:00am; Thu 5:00am - 12:00am; Fri 5:00am - 12:00am; Sat 5:00am - 12:00am,,,,4,,CHARGESMART_EV,https://chargesmartev.com,GPS,41.354085,-73.748188,06/26/2025,348208,2025-06-26 02:57:27,,,,06/20/2024,J1772COMBO
ELEC,The Byram Armonk,585 Main St,,Armonk,NY,10504,,1-800-636-0986,E,,Public,,,,2,,,CHARGELAB,https://chargelab.co,GPS,41.135271,-73.711364,06/26/2025,360215,2025-06-26 03:10:41,,,,10/17/2024,J1772
ELEC,Greymoor Way - Building 2,1201 Greymoor Way,,Baldwinsville,NY,13027,,1-833-611-5965,E,,Public,24 hours daily,,,4,,,VIALYNK,https://www.lynkwell.com,GPS,43.181940,-76.300020,06/26/2025,223120,2025-06-26 02:48:50,,,,10/28/2021,J1772
ELEC,The Ridge - Lot B,12 Ridgeway Ln,,Troy,NY,12180,,1-833-611-5965,E,,Public,24 hours daily,,,4,,,VIALYNK,https://www.lynkwell.com,GPS,42.741700,-73.635940,06/26/2025,223111,2025-06-26 02:48:25,,,,12/30/2021,J1772
ELEC,TOBAY OYSTER BAY 2,3 West End Ave,Between Building I and J,Oyster Bay,NY,11771,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.875818,-73.538735,06/25/2025,253981,2025-06-25 02:10:39,,,,02/14/2023,J1772
ELEC,GARNET HILL LOG HOUSE #1,39 Garnet Hill Rd Section 2,,North River,NY,12856,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.712284,-74.107111,06/25/2025,204652,2025-06-25 01:41:35,,,,01/12/2022,J1772
ELEC,AUDIHUNTINGTON AUDI 19.2KW,363 East Jericho Turnpike,Dealership Lot,Huntington Station,NY,11746,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.830892,-73.396752,06/25/2025,386863,2025-06-25 02:44:26,,,,02/26/2025,J1772
ELEC,WATERVLIET MUSEUM 3,1501 1st Ave,Up against building,Watervliet,NY,12189,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.726226,-73.701207,06/25/2025,205367,2025-06-25 01:45:55,,,,01/27/2022,J1772
ELEC,BURNS MGT SCH COMM BLDG 3,1 broom shop lane,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.741644,-73.787651,06/26/2025,174713,2025-06-26 01:22:03,,,,01/27/2021,J1772
ELEC,Residence Inn Syracuse Carrier Circle,6420 Yorktown Circle,,East Syracuse,NY,13057,,1-888-717-4544,E,,Public,24 hours daily,,,10,,,CHARGESMART_EV,https://chargesmartev.com,GPS,43.090827,-76.088821,06/26/2025,390094,2025-06-26 02:57:41,,,,04/17/2025,J1772
ELEC,"Love's 403 (Binghamton, NY)",2 INDUSTRIAL PARK DRIVE,,Binghamton,NY,13904,,833-632-2778,E,,Public,24 hours daily,,,,4,,Electrify America,https://www.electrifyamerica.com,GPS,42.101260,-75.836340,06/26/2025,199188,2025-06-26 01:37:19,,,,10/27/2021,CHADEMO J1772COMBO
ELEC,NYC FLEET DPR_ICAHN_2_L3,10 Central Rd,,New York,NY,10035,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,40.792370,-73.924644,06/25/2025,181933,2025-06-25 01:31:00,,,,01/27/2021,CHADEMO J1772COMBO
ELEC,COLE GROUP ENGLISH 1,1 Piccadilly Circus,,Moreau,NY,12831,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.248734,-73.683698,06/25/2025,233242,2025-06-25 02:02:49,,,,10/11/2022,J1772
ELEC,484 43rd St,484 43rd St,,Brooklyn,NY,11232,,888-356-8911,E,,Public,24 hours daily,,,2,,,FLO,https://www.flo.com,GPS,40.649116,-74.006479,06/26/2025,202164,2025-06-26 02:13:42,,,,12/08/2021,J1772
ELEC,Townsend Ave - Parking lot Ground level,1765 Townsend Ave,,Bronx,NY,10453,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,6,,,EVOKE,https://evokesystems.com,GPS,40.847928,-73.911582,10/11/2024,356945,2025-02-12 00:16:32,P,,,01/02/2023,J1772
ELEC,L&L HOLDING CO. NUGGET L2,425 Park Ave,,New York,NY,10022,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.760403,-73.971050,06/25/2025,333413,2025-06-25 02:02:30,,,,04/24/2024,J1772
ELEC,Econo Lodge Brockport,6575 4th Section Road,,Brockport,NY,14420,,1-888-717-4544,E,,Public,24 hours daily,,,10,,,CHARGESMART_EV,https://chargesmartev.com,GPS,43.197899,-77.946869,06/26/2025,350287,2025-06-26 02:57:18,,,,07/10/2024,J1772
ELEC,VANKAY PUBLIC STATION 2,5 McCrea Hill Rd,,Ballston Spa,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.966560,-73.857687,06/25/2025,186633,2025-06-25 01:39:20,,,,03/27/2021,J1772
ELEC,HOMEWOODSUITES HWS1,40 Westbury Ave,,Carle Place,NY,11514,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.749033,-73.619126,06/25/2025,319909,2025-06-25 02:22:34,,,,11/16/2023,J1772
ELEC,RCP MAIN PARKING,4254 NY-43,Main parking lot of Robert C Parker School,Wynantskill,NY,12198,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.653034,-73.652079,06/25/2025,196298,2025-06-25 01:46:13,,,,09/24/2021,J1772
ELEC,Stop and Shop 559 530 West Old Country Road,530 West Old Country Road,,Hicksville,NY,11801,,855-900-7584,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,40.758454,-73.545894,06/26/2025,220207,2025-06-26 01:28:44,,,,05/20/2022,J1772
